product_name,description,quantity,brand_name,category_path,warehouse_location,store_location,shopping_category_name,price,sale_price,cost_price,package_size_length,package_size_width,package_size_height,product_weights,size_unit,weight_unit,return_policy,active,return_type,return_fee_type,return_fee,url,video_url,video_thumbnail_url,images,specifications,is_child_item,ean,isbn,keywords,mpn,seo_description,seo_title,upc,order_limit,size_chart_img
Adidas Performance Tee,"A lightweight, moisture-wicking t-shirt perfect for workouts or casual wear. Features the classic Adidas logo.",85,Adidas_101,Apparel/Mens Apparel/Shirts,"warehouse-1, shelf A, bay 3","store-5, aisle 2, rack 1",,25,19.99,10,12,10,1,0.4,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,adidas-performance-tee,,,,"Type:Tee|Material:100% Polyester|Fit:Regular|Sleeve:Short|Color Options:Black, White, Navy, Grey, Red|Care:Machine Washable",0,,,,,Adidas Performance Tee for Men,A lightweight and breathable tee for active lifestyles.,,,
Nike Dri-FIT Polo,A classic polo shirt with Nike's Dri-FIT technology to keep you cool and dry. Ideal for golf or smart-casual occasions.,65,Nike_101,Apparel/Mens Apparel/Shirts,"warehouse-1, shelf A, bay 4","store-5, aisle 2, rack 2",,50,44.95,22,14,11,1.5,0.6,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,nike-dri-fit-polo,,,,"Type:Polo Shirt|Material:100% Polyester Dri-FIT|Fit:Slim|Sleeve:Short|Color Options:Black, White, Royal Blue, Dark Grey, University Red|Care:Machine Washable",0,,,,,"golf polo, dri-fit shirt, nike polo",Nike Dri-FIT Men's Polo Shirt,,,
Puma Essential Logo Hoodie,A comfortable and stylish hoodie featuring the iconic Puma cat logo. Made from a soft cotton blend for everyday wear.,70,Puma_101,Apparel/Mens Apparel/Shirts,"warehouse-2, shelf B, bay 1","store-6, aisle 3, rack 1",,60,49.99,25,18,15,3,1.5,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FIXED,5,puma-essential-hoodie,,,,"Type:Hoodie|Material:Cotton Blend Fleece|Fit:Regular|Sleeve:Long|Color Options:Puma Black, Cotton White, Medium Gray Heather, Racing Blue, Poppy Red|Care:Machine Washable",0,,,,,,,,,
Levi's Classic Trucker Jacket,The original jean jacket since 1967. A timeless piece that's perfect for any season and style.,40,Levi Strauss & Co.,Apparel/Mens Apparel/Shirts,"warehouse-2, shelf B, bay 2","store-6, aisle 3, rack 2",,98,89.5,45,20,16,2.5,2.5,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,levis-trucker-jacket,,,,"Type:Denim Jacket|Material:100% Cotton Denim|Fit:Regular|Sleeve:Long|Color Options:Stonewash, Black, Rinse, Light Wash, White|Care:Machine Wash Cold",0,,,,,,,,,
Adidas Tiro 23 Training Jersey,A slim-fitting training jersey with AEROREADY technology to manage moisture. Made with recycled materials.,90,Adidas_101,Apparel/Mens Apparel/Shirts,"warehouse-3, shelf C, bay 1","store-7, aisle 4, rack 1",,40,34.99,18,13,10,1,0.5,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,adidas-tiro23-jersey,,,,"Type:Jersey|Material:Aeroready Polyester|Fit:Athletic|Sleeve:Short|Color Options:Team Royal Blue, Black, White, Team Power Red, Team Green|Care:Machine Washable",0,,,,,,,,,
Nike Sportswear Club Fleece Crew,"A wardrobe staple, this crewneck sweatshirt offers soft comfort in a classic style for an elevated, everyday look.",110,Nike_101,Apparel/Mens Apparel/Shirts,"warehouse-3, shelf C, bay 2","store-7, aisle 4, rack 2",,55,48,24,16,14,2,1.2,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,nike-club-fleece-crew,,,,"Type:Crew Sweatshirt|Material:Cotton/Polyester Blend|Fit:Regular|Sleeve:Long|Color Options:Dark Grey Heather, Black, White, Midnight Navy, Malachite|Care:Machine Washable",0,,,,,"sweatshirt, crewneck, nike sportswear",Nike Sportswear Men's Club Fleece Crew,,,
Puma Graphic T-Shirt,Make a statement with this bold graphic t-shirt from Puma. Combines classic comfort with eye-catching design.,80,Puma_101,Apparel/Mens Apparel/Shirts,"warehouse-4, shelf D, bay 1","store-8, aisle 5, rack 1",,30,24.95,12,12,10,1,0.4,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FIXED,5,puma-graphic-tee,,,,"Type:Western Shirt|Material:100% Cotton Denim|Fit:Regular|Sleeve:Long|Color Options:Red Cast Rinse, Dark Wash, Mid Wash, Black, Light Wash|Care:Machine Wash Cold",0,,,,,,,puma-tee-701,,
Levi's Classic Western Shirt,A timeless western-style shirt with original details like a pointed yoke and snap buttons. A symbol of rugged American culture.,50,Levi Strauss & Co.,Apparel/Mens Apparel/Shirts,"warehouse-4, shelf D, bay 2","store-8, aisle 5, rack 2",,69.5,59.99,30,15,12,1.5,0.8,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,levis-western-shirt,,,,"Type:Dress Shirt|Material:Premium Cotton|Fit:Slim|Sleeve:Long|Color Options:White, Black, Light Blue, Charcoal, Navy|Care:Dry Clean Recommended",0,,,,,,,,,
Chanel Classic Cotton Shirt,An exquisitely tailored long-sleeve shirt crafted from premium cotton. A timeless piece of luxury for the discerning gentleman.,15,Chanel_101,Apparel/Mens Apparel/Shirts,"warehouse-5, shelf E, bay 1","store-9, vip section, rack 1",,750,750,350,16,12,2,0.7,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FIXED,25,chanel-classic-shirt,,,,"Type:Tee|Material:100% Cotton|Fit:Regular|Sleeve:Short|Color Options:White, Black, Scarlet, Blue Bird, Night Indigo|Care:Machine Washable",0,,,,,,chanel-shirt-901,,,
Adidas Originals 3-Stripes Tee,An iconic t-shirt that showcases pure Adidas heritage. Features contrast 3-Stripes down the sleeves and a Trefoil logo.,120,Adidas_101,Apparel/Mens Apparel/Shirts,"warehouse-5, shelf E, bay 2","store-9, aisle 6, rack 1",,35,29.99,15,12,10,1,0.5,inches,lb,14 days return,ACTIVE,SALES_RETURN_ALLOWED,FREE,0,adidas-originals-3stripes-tee,,,,"Type:Crew Sweatshirt|Material:Cotton/Polyester Blend|Fit:Regular|Sleeve:Long|Color Options:Dark Grey Heather, Black, White, Midnight Navy, Malachite|Care:Machine Washable",0,,,,,,,,,
